ābcd, ābcd, ābcd, empty
ābcd + ab̄cd̄ + abcd̄ + abcd, bcd + acd̄ + abd + abc, bcd + acd̄, empty
ābcd + ab̄cd̄ + abcd̄, bcd + acd̄ + abc, bcd + acd̄, empty
ābcd + ab̄cd̄, ābcd + acd̄, ābcd + acd̄, empty
ābcd + ab̄cd̄ + abcd, bcd + acd̄ + abd + abc, bcd + acd̄, empty
ābcd + ab̄cd̄, bcd + acd̄, bcd + acd̄, empty
ābcd + ab̄cd̄ + abc̄d̄, ābcd + ab̄cd̄ + abc̄d̄, ābcd + ab̄cd̄ + abc̄d̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abcd, bcd + ab̄cd̄ + abc̄d̄, bcd + ab̄cd̄ + abc̄d̄, empty
ābcd + ab̄cd̄ + abc̄d̄, bcd + ab̄cd̄ + abc̄d̄, bcd + ab̄cd̄ + abc̄d̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abcd̄, ābcd + acd̄ + abd̄, ābcd + acd̄ + abd̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abcd̄ + abcd, bcd + acd̄ + abd̄ + abc, bcd + acd̄ + abd̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abcd̄, bcd + acd̄ + abd̄ + abc, bcd + acd̄ + abd̄, empty
ābcd + ab̄cd̄ + abc̄d̄, ābcd + acd̄ + abd̄, ābcd + acd̄ + abd̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abcd, bcd + acd̄ + abd̄ + abc, bcd + acd̄ + abd̄, empty
ābcd + ab̄cd̄ + abc̄d̄, bcd + acd̄ + abd̄, bcd + acd̄ + abd̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abc̄d, ābcd + ab̄cd̄ + abc̄, ābcd + ab̄cd̄ + abc̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abc̄d + abcd, bcd + ab̄cd̄ + abd + abc̄, bcd + ab̄cd̄ + abc̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abc̄d, bcd + ab̄cd̄ + abd + abc̄, bcd + ab̄cd̄ + abc̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄, ābcd + acd̄ + abd̄ + abc̄, ābcd + acd̄ + abc̄, empty
ābcd + ab̄cd̄ + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd + acd̄ + ab, bcd + acd̄ + ab, empty
